INFO  - 2015-11-27 15:52:24.136; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865566601591 (1519008658630901760)]} 0 1
INFO  - 2015-11-27 15:52:24.140; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865566801591 (1519008658635096064)]} 0 1
INFO  - 2015-11-27 15:52:24.144; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865567401591 (1519008658639290368)]} 0 1
INFO  - 2015-11-27 15:52:24.149; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865901301591 (1519008658644533248)]} 0 2
INFO  - 2015-11-27 15:52:24.154; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866098901591 (1519008658649776128)]} 0 1
INFO  - 2015-11-27 15:52:24.160; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866099301591 (1519008658655019008)]} 0 2
INFO  - 2015-11-27 15:52:24.164; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866499301591 (1519008658660261888)]} 0 1
INFO  - 2015-11-27 15:52:24.167; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866594401591 (1519008658664456192)]} 0 1
INFO  - 2015-11-27 15:52:24.172; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866594901591 (1519008658668650496)]} 0 1
INFO  - 2015-11-27 15:52:24.176; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866595901591 (1519008658672844800)]} 0 1
INFO  - 2015-11-27 15:52:24.181; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866596201591 (1519008658677039104)]} 0 2
INFO  - 2015-11-27 15:52:24.185; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866596401591 (1519008658682281984)]} 0 1
INFO  - 2015-11-27 15:52:24.190; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866598301591 (1519008658686476288)]} 0 2
INFO  - 2015-11-27 15:52:24.195; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866599001591 (1519008658691719168)]} 0 2
INFO  - 2015-11-27 15:52:24.199; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866599101591 (1519008658696962048)]} 0 1
INFO  - 2015-11-27 15:52:24.203; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866601201591 (1519008658702204928)]} 0 1
INFO  - 2015-11-27 15:52:24.208; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866601301591 (1519008658706399232)]} 0 2
INFO  - 2015-11-27 15:52:24.213; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866687701591 (1519008658711642112)]} 0 1
INFO  - 2015-11-27 15:52:24.217; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955866690301591 (1519008658715836416)]} 0 1
